system,window_size,depth,is_representative,permutator_order,permutator_sd,holonomy_order,holonomy_sd,n_tiles,classification,moves_D,moves_W,composite_pairs,window_paper
prod,8,2,true,2,"C2",2,"C2",7,W-ONLY-inherited,false,true,"","1=(D:0,W:1) 4=(D:0,W:4) 5=(D:0,W:5) 7=(D:0,W:7) 9=(D:1,W:1) 12=(D:1,W:4) 13=(D:1,W:5) 15=(D:1,W:7)"
prod,8,2,false,2,"C2",2,"C2",7,W-ONLY-inherited,false,true,"","9=(D:1,W:1) 10=(D:1,W:2) 11=(D:1,W:3) 15=(D:1,W:7) 17=(D:2,W:1) 18=(D:2,W:2) 19=(D:2,W:3) 23=(D:2,W:7)"
prod,2,7,true,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","12=(D:1,W:4) 13=(D:1,W:5)"
prod,2,7,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","10=(D:1,W:2) 11=(D:1,W:3)"
prod,2,7,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","9=(D:1,W:1) 11=(D:1,W:3)"
prod,2,7,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","1=(D:0,W:1) 5=(D:0,W:5)"
prod,2,7,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","17=(D:2,W:1) 18=(D:2,W:2)"
prod,2,7,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","29=(D:3,W:5) 30=(D:3,W:6)"
prod,2,7,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","9=(D:1,W:1) 15=(D:1,W:7)"
prod,2,7,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","21=(D:2,W:5) 23=(D:2,W:7)"
prod,2,7,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","9=(D:1,W:1) 12=(D:1,W:4)"
prod,2,7,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","18=(D:2,W:2) 19=(D:2,W:3)"
prod,2,7,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","27=(D:3,W:3) 30=(D:3,W:6)"
prod,2,7,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","1=(D:0,W:1) 3=(D:0,W:3)"
prod,2,7,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","19=(D:2,W:3) 23=(D:2,W:7)"
prod,2,7,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","19=(D:2,W:3) 22=(D:2,W:6)"
prod,2,7,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","9=(D:1,W:1) 13=(D:1,W:5)"
prod,2,7,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","0=(D:0,W:0) 3=(D:0,W:3)"
prod,2,7,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","4=(D:0,W:4) 7=(D:0,W:7)"
prod,2,7,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","13=(D:1,W:5) 15=(D:1,W:7)"
prod,2,7,true,2,"C2",2,"C2",2,D-ONLY,true,false,"","5=(D:0,W:5) 13=(D:1,W:5)"
prod,2,7,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","0=(D:0,W:0) 5=(D:0,W:5)"
prod,2,7,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","10=(D:1,W:2) 15=(D:1,W:7)"
prod,2,7,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","1=(D:0,W:1) 7=(D:0,W:7)"
prod,2,7,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","11=(D:1,W:3) 15=(D:1,W:7)"
prod,2,7,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","9=(D:1,W:1) 10=(D:1,W:2)"
prod,2,7,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","21=(D:2,W:5) 22=(D:2,W:6)"
prod,2,7,false,2,"C2",2,"C2",2,D-ONLY,true,false,"","9=(D:1,W:1) 17=(D:2,W:1)"
prod,2,7,false,2,"C2",2,"C2",2,D-ONLY,true,false,"","21=(D:2,W:5) 29=(D:3,W:5)"
prod,2,7,false,2,"C2",2,"C2",2,D-ONLY,true,false,"","23=(D:2,W:7) 31=(D:3,W:7)"
prod,2,7,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","12=(D:1,W:4) 15=(D:1,W:7)"
prod,2,7,false,2,"C2",2,"C2",2,D-ONLY,true,false,"","4=(D:0,W:4) 12=(D:1,W:4)"
prod,2,7,false,2,"C2",2,"C2",2,D-ONLY,true,false,"","13=(D:1,W:5) 21=(D:2,W:5)"
prod,2,7,false,2,"C2",2,"C2",2,D-ONLY,true,false,"","15=(D:1,W:7) 23=(D:2,W:7)"
D_to_W,4,7,true,2,"C2",2,"C2",4,W-ONLY-inherited,false,true,"","9=(D:1,W:1) 12=(D:1,W:4) 13=(D:1,W:5) 15=(D:1,W:7)"
D_to_W,4,7,false,2,"C2",2,"C2",4,W-ONLY-inherited,false,true,"","17=(D:2,W:1) 18=(D:2,W:2) 19=(D:2,W:3) 23=(D:2,W:7)"
D_to_W,2,10,true,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","12=(D:1,W:4) 13=(D:1,W:5)"
D_to_W,2,10,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","18=(D:2,W:2) 19=(D:2,W:3)"
D_to_W,2,10,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","9=(D:1,W:1) 13=(D:1,W:5)"
D_to_W,2,10,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","17=(D:2,W:1) 18=(D:2,W:2)"
D_to_W,4,6,true,4,"C4",4,"C4",4,COMPOSITE,true,true,"9=(D:1,W:1)->19=(D:2,W:3) ; 13=(D:1,W:5)->18=(D:2,W:2) ; 18=(D:2,W:2)->9=(D:1,W:1) ; 19=(D:2,W:3)->13=(D:1,W:5)","9=(D:1,W:1) 13=(D:1,W:5) 18=(D:2,W:2) 19=(D:2,W:3)"
D_to_W,3,7,true,2,"C2",2,"C2",3,W-ONLY-inherited,false,true,"","13=(D:1,W:5) 18=(D:2,W:2) 19=(D:2,W:3)"
D_to_W,4,6,false,4,"C4",4,"C4",4,COMPOSITE,true,true,"17=(D:2,W:1)->27=(D:3,W:3) ; 23=(D:2,W:7)->30=(D:3,W:6) ; 27=(D:3,W:3)->23=(D:2,W:7) ; 30=(D:3,W:6)->17=(D:2,W:1)","17=(D:2,W:1) 23=(D:2,W:7) 27=(D:3,W:3) 30=(D:3,W:6)"
D_to_W,2,10,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","1=(D:0,W:1) 5=(D:0,W:5)"
D_to_W,2,10,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","17=(D:2,W:1) 23=(D:2,W:7)"
D_to_W,2,10,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","9=(D:1,W:1) 12=(D:1,W:4)"
D_to_W,2,10,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","27=(D:3,W:3) 30=(D:3,W:6)"
D_to_W,2,10,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","1=(D:0,W:1) 3=(D:0,W:3)"
D_to_W,2,10,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","9=(D:1,W:1) 15=(D:1,W:7)"
D_to_W,2,10,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","0=(D:0,W:0) 3=(D:0,W:3)"
D_to_W,2,10,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","12=(D:1,W:4) 15=(D:1,W:7)"
D_to_W,3,7,false,2,"C2",2,"C2",3,W-ONLY-inherited,false,true,"","17=(D:2,W:1) 27=(D:3,W:3) 30=(D:3,W:6)"
D_to_W,4,6,false,4,"C4",4,"C4",4,COMPOSITE,true,true,"1=(D:0,W:1)->13=(D:1,W:5) ; 3=(D:0,W:3)->12=(D:1,W:4) ; 12=(D:1,W:4)->1=(D:0,W:1) ; 13=(D:1,W:5)->3=(D:0,W:3)","1=(D:0,W:1) 3=(D:0,W:3) 12=(D:1,W:4) 13=(D:1,W:5)"
D_to_W,3,7,false,2,"C2",2,"C2",3,W-ONLY-inherited,false,true,"","1=(D:0,W:1) 3=(D:0,W:3) 13=(D:1,W:5)"
D_to_W,2,10,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","17=(D:2,W:1) 19=(D:2,W:3)"
D_to_W,2,10,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","0=(D:0,W:0) 5=(D:0,W:5)"
