system,degree,monoid_order,depth,level,slot,group_order,structure_description,is_nontrivial,rep_support_size,n_tiles,rep_support_paper,tiles_paper
DN3,3,13,3,1,1,2,C2,true,3,2,{0 1 2},{0 1} | {1 2}
DN3,3,13,3,2,1,2,C2,true,2,2,{1 2},{1} | {2}
DN4,4,24,4,1,1,1,1,false,4,2,{0 1 2 3},{0 1} | {1 2 3}
DN4,4,24,4,2,1,1,1,false,3,2,{1 2 3},{1 2} | {2 3}
DN4,4,24,4,3,1,2,C2,true,2,2,{0 1},{0} | {1}
WTA,8,326,7,1,1,1,1,false,8,4,"{0=(0,0,0) 1=(0,0,1) 2=(0,1,0) 3=(0,1,1) 4=(1,0,0) 5=(1,0,1) 6=(1,1,0) 7=(1,1,1)}","{0=(0,0,0) 1=(0,0,1) 3=(0,1,1) 5=(1,0,1)} | {1=(0,0,1) 2=(0,1,0) 3=(0,1,1) 7=(1,1,1)} | {1=(0,0,1) 4=(1,0,0) 5=(1,0,1) 7=(1,1,1)} | {3=(0,1,1) 5=(1,0,1) 6=(1,1,0) 7=(1,1,1)}"
WTA,8,326,7,2,1,1,1,false,4,2,"{0=(0,0,0) 1=(0,0,1) 3=(0,1,1) 5=(1,0,1)}","{0=(0,0,0) 1=(0,0,1) 3=(0,1,1)} | {0=(0,0,0) 1=(0,0,1) 5=(1,0,1)}"
WTA,8,326,7,2,2,2,C2,true,4,4,"{1=(0,0,1) 4=(1,0,0) 5=(1,0,1) 7=(1,1,1)}","{1=(0,0,1) 4=(1,0,0) 5=(1,0,1)} | {1=(0,0,1) 4=(1,0,0) 7=(1,1,1)} | {1=(0,0,1) 5=(1,0,1) 7=(1,1,1)} | {4=(1,0,0) 5=(1,0,1) 7=(1,1,1)}"
WTA,8,326,7,2,3,1,1,false,4,4,"{3=(0,1,1) 5=(1,0,1) 6=(1,1,0) 7=(1,1,1)}","{3=(0,1,1) 5=(1,0,1) 6=(1,1,0)} | {3=(0,1,1) 5=(1,0,1) 7=(1,1,1)} | {3=(0,1,1) 6=(1,1,0) 7=(1,1,1)} | {5=(1,0,1) 6=(1,1,0) 7=(1,1,1)}"
WTA,8,326,7,3,1,1,1,false,3,3,"{1=(0,0,1) 4=(1,0,0) 5=(1,0,1)}","{1=(0,0,1) 4=(1,0,0)} | {1=(0,0,1) 5=(1,0,1)} | {4=(1,0,0) 5=(1,0,1)}"
WTA,8,326,7,3,2,1,1,false,3,3,"{1=(0,0,1) 2=(0,1,0) 3=(0,1,1)}","{1=(0,0,1) 2=(0,1,0)} | {1=(0,0,1) 3=(0,1,1)} | {2=(0,1,0) 3=(0,1,1)}"
WTA,8,326,7,3,3,1,1,false,3,2,"{3=(0,1,1) 5=(1,0,1) 6=(1,1,0)}","{3=(0,1,1) 6=(1,1,0)} | {5=(1,0,1) 6=(1,1,0)}"
WTA,8,326,7,4,1,1,1,false,3,3,"{0=(0,0,0) 1=(0,0,1) 5=(1,0,1)}","{0=(0,0,0) 1=(0,0,1)} | {0=(0,0,0) 5=(1,0,1)} | {1=(0,0,1) 5=(1,0,1)}"
WTA,8,326,7,4,2,1,1,false,3,3,"{5=(1,0,1) 6=(1,1,0) 7=(1,1,1)}","{5=(1,0,1) 6=(1,1,0)} | {5=(1,0,1) 7=(1,1,1)} | {6=(1,1,0) 7=(1,1,1)}"
