monoid_size,n_interfaces
326,6
327,44
328,334
329,10
330,32
331,61
332,45
333,26
334,71
335,50
336,28
337,45
338,66
339,63
340,40
341,54
342,54
343,101
344,13
345,74
346,62
347,30
348,20
349,26
350,18
351,21
352,38
353,21
354,4
355,43
356,24
357,15
358,20
359,30
360,22
361,15
362,18
363,19
364,8
365,26
366,28
367,39
368,41
369,19
370,15
371,32
372,27
373,18
374,41
375,6
376,10
377,25
378,20
379,23
380,15
381,9
382,13
383,13
384,17
385,58
386,55
387,35
388,10
389,43
390,50
391,34
392,120
393,77
394,11
395,43
396,30
397,39
398,47
399,27
400,48
401,37
402,60
403,30
404,49
405,14
406,29
407,20
408,54
409,47
410,30
411,84
412,88
413,78
414,72
415,51
416,66
417,82
418,54
419,29
420,37
421,25
422,60
423,21
424,37
425,31
426,27
427,67
428,32
429,46
430,47
431,48
432,41
433,21
434,23
435,40
436,22
437,23
438,35
439,14
440,51
441,13
442,33
443,41
444,28
445,45
446,20
447,23
448,34
449,25
450,30
451,35
452,57
453,43
454,57
455,35
456,58
457,49
458,55
459,34
460,35
461,44
462,53
463,36
464,16
465,30
466,62
467,54
468,49
469,78
470,88
471,48
472,61
473,64
474,50
475,61
476,89
477,57
478,96
479,75
480,46
481,60
482,68
483,49
484,98
485,77
486,67
487,65
488,70
489,54
490,53
491,92
492,58
493,54
494,77
495,49
496,97
497,67
498,70
499,103
500,80
501,49
502,52
503,55
504,36
505,109
506,46
507,46
508,35
509,59
510,16
511,34
512,67
513,91
514,34
515,67
516,50
517,63
518,46
519,52
520,24
521,64
522,35
523,54
524,49
525,47
526,45
527,34
528,25
529,97
530,103
531,118
532,75
533,89
534,67
535,73
536,57
537,49
538,65
539,40
540,64
541,50
542,64
543,58
544,54
545,84
546,76
547,64
548,80
549,72
550,64
551,71
552,92
553,66
554,67
555,83
556,78
557,66
558,56
559,111
560,83
561,47
562,97
563,94
564,82
565,53
566,58
567,75
568,68
569,83
570,57
571,53
572,48
573,39
574,72
575,63
576,59
577,74
578,83
579,58
580,99
581,55
582,66
583,112
584,66
585,65
586,74
587,78
588,87
589,108
590,53
591,56
592,66
593,58
594,91
595,96
596,113
597,76
598,64
599,81
600,98
601,87
602,66
603,53
604,66
605,80
606,60
607,67
608,129
609,83
610,118
611,95
612,113
613,126
614,79
615,79
616,88
617,87
618,83
619,103
620,61
621,105
622,74
623,74
624,91
625,55
626,103
627,79
628,78
629,63
630,41
631,63
632,80
633,74
634,76
635,76
636,82
637,79
638,51
639,62
640,106
641,91
642,104
643,55
644,99
645,61
646,55
647,73
648,58
649,97
650,69
651,103
652,51
653,52
654,71
655,85
656,51
657,83
658,82
659,102
660,71
661,74
662,70
663,80
664,87
665,104
666,62
667,95
668,86
669,86
670,66
671,84
672,99
673,91
674,55
675,96
676,80
677,85
678,77
679,84
680,52
681,84
682,77
683,112
684,90
685,93
686,98
687,103
688,102
689,104
690,86
691,66
692,70
693,79
694,106
695,64
696,66
697,73
698,92
699,74
700,108
701,66
702,72
703,75
704,94
705,80
706,118
707,86
708,92
709,68
710,73
711,70
712,87
713,85
714,82
715,62
716,69
717,77
718,67
719,94
720,91
721,78
722,68
723,88
724,79
725,83
726,109
727,102
728,105
729,74
730,70
731,91
732,50
733,64
734,90
735,75
736,93
737,99
738,84
739,89
740,80
741,85
742,96
743,67
744,74
745,101
746,78
747,81
748,65
749,45
750,77
751,85
752,45
753,82
754,67
755,81
756,85
757,73
758,97
759,74
760,69
761,82
762,88
763,66
764,90
765,81
766,111
767,75
768,74
769,78
770,79
771,86
772,67
773,62
774,107
775,74
776,47
777,85
778,43
779,84
780,83
781,70
782,114
783,69
784,79
785,109
786,49
787,83
788,84
789,88
790,75
791,73
792,63
793,68
794,50
795,66
796,82
797,69
798,66
799,82
800,79
801,58
802,67
803,69
804,55
805,76
806,77
807,75
808,66
809,62
810,69
811,88
812,100
813,92
814,55
815,74
816,68
817,65
818,67
819,75
820,82
821,73
822,59
823,60
824,78
825,95
826,67
827,57
828,54
829,69
830,74
831,71
832,68
833,61
834,59
835,58
836,63
837,71
838,71
839,54
840,78
841,53
842,80
843,80
844,77
845,75
846,65
847,67
848,70
849,34
850,90
851,105
852,71
853,48
854,53
855,73
856,52
857,69
858,60
859,57
860,83
861,52
862,67
863,65
864,57
865,54
866,64
867,59
868,55
869,77
870,77
871,61
872,66
873,45
874,76
875,64
876,66
877,68
878,49
879,70
880,51
881,71
882,57
883,57
884,46
885,46
886,94
887,46
888,58
889,65
890,53
891,53
892,69
893,60
894,79
895,63
896,51
897,48
898,61
899,63
900,43
901,55
902,59
903,74
904,59
905,50
906,58
907,43
908,43
909,87
910,59
911,56
912,56
913,46
914,32
915,81
916,66
917,63
918,71
919,49
920,42
921,55
922,56
923,55
924,78
925,46
926,47
927,48
928,75
929,58
930,31
931,63
932,58
933,55
934,66
935,80
936,77
937,48
938,68
939,72
940,44
941,43
942,53
943,45
944,55
945,31
946,62
947,75
948,54
949,48
950,39
951,44
952,35
953,27
954,53
955,45
956,52
957,44
958,53
959,46
960,60
961,57
962,34
963,58
964,44
965,56
966,62
967,71
968,43
969,33
970,55
971,33
972,50
973,33
974,51
975,55
976,59
977,36
978,40
979,45
980,67
981,52
982,60
983,65
984,60
985,44
986,35
987,60
988,61
989,41
990,56
991,34
992,48
993,35
994,51
995,55
996,37
997,42
998,65
999,45
1000,33
1001,34
1002,35
1003,46
1004,38
1005,63
1006,52
1007,37
1008,51
1009,35
1010,28
1011,47
1012,53
1013,49
1014,29
1015,40
1016,45
1017,32
1018,30
1019,30
1020,33
1021,40
1022,26
1023,38
1024,43
1025,36
1026,40
1027,39
1028,35
1029,52
1030,45
1031,40
1032,40
1033,34
1034,55
1035,36
1036,42
1037,55
1038,35
1039,30
1040,25
1041,21
1042,37
1043,40
1044,33
1045,34
1046,40
1047,35
1048,40
1049,42
1050,28
1051,29
1052,53
1053,41
1054,21
1055,43
1056,39
1057,32
1058,38
1059,30
1060,36
1061,35
1062,32
1063,25
1064,33
1065,48
1066,33
1067,30
1068,38
1069,43
1070,32
1071,43
1072,24
1073,23
1074,59
1075,42
1076,46
1077,41
1078,50
1079,26
1080,37
1081,33
1082,20
1083,35
1084,34
1085,33
1086,27
1087,38
1088,34
1089,31
1090,27
1091,34
1092,26
1093,49
1094,41
1095,25
1096,23
1097,27
1098,41
1099,26
1100,28
1101,35
1102,28
1103,21
1104,38
1105,20
1106,28
1107,18
1108,23
1109,34
1110,44
1111,31
1112,46
1113,25
1114,30
1115,24
1116,30
1117,22
1118,22
1119,26
1120,25
1121,32
1122,42
1123,24
1124,24
1125,20
1126,36
1127,21
1128,41
1129,45
1130,33
1131,34
1132,47
1133,18
1134,37
1135,38
1136,29
1137,29
1138,19
1139,21
1140,25
1141,27
1142,24
1143,25
1144,27
1145,45
1146,16
1147,33
1148,20
1149,14
1150,33
1151,16
1152,37
1153,16
1154,17
1155,22
1156,31
1157,26
1158,14
1159,17
1160,18
1161,19
1162,35
1163,22
1164,30
1165,22
1166,18
1167,22
1168,28
1169,37
1170,14
1171,40
1172,7
1173,25
1174,40
1175,14
1176,27
1177,26
1178,29
1179,18
1180,25
1181,15
1182,25
1183,14
1184,12
1185,27
1186,24
1187,26
1188,18
1189,25
1190,23
1191,21
1192,25
1193,25
1194,33
1195,17
1196,19
1197,21
1198,30
1199,32
1200,27
1201,15
1202,17
1203,22
1204,21
1205,12
1206,9
1207,18
1208,30
1209,22
1210,18
1211,17
1212,23
1213,16
1214,22
1215,17
