scheme,phi_class,psi_class,witness_class,has_composite,gen_level,n
rec_sync,constant,constant,none,False,False,16
rec_sync,constant,both,none,False,False,261072
rec_sync,constant,winner_only,none,False,False,1008
rec_sync,constant,g_only,none,False,False,48
rec_sync,partial,constant,none,False,False,912
rec_sync,partial,both,none,False,False,7367586
rec_sync,partial,winner_only,none,False,False,36818
rec_sync,partial,both,composite,True,True,7513518
rec_sync,partial,winner_only,composite,True,True,20638
rec_sync,partial,g_only,none,False,False,1332
rec_sync,partial,g_only,composite,True,True,1404
rec_sync,injective,constant,none,False,False,96
rec_sync,injective,both,none,False,False,488716
rec_sync,injective,winner_only,none,False,False,2876
rec_sync,injective,both,composite,True,True,1077716
rec_sync,injective,winner_only,composite,True,True,3172
rec_sync,injective,g_only,none,False,False,98
rec_sync,injective,g_only,composite,True,True,190
rec_async_D,constant,constant,none,False,False,16
rec_async_D,constant,both,none,False,False,261072
rec_async_D,constant,winner_only,none,False,False,1008
rec_async_D,constant,g_only,none,False,False,48
rec_async_D,partial,constant,none,False,False,912
rec_async_D,partial,both,none,False,False,9417836
rec_async_D,partial,winner_only,none,False,False,42972
rec_async_D,partial,both,composite,True,True,5463268
rec_async_D,partial,winner_only,composite,True,True,14484
rec_async_D,partial,g_only,none,False,False,1792
rec_async_D,partial,g_only,composite,True,True,944
rec_async_D,injective,constant,none,False,False,96
rec_async_D,injective,both,none,False,False,772982
rec_async_D,injective,winner_only,none,False,False,3846
rec_async_D,injective,both,composite,True,True,793450
rec_async_D,injective,g_only,none,False,False,156
rec_async_D,injective,g_only,composite,True,True,132
rec_async_D,injective,winner_only,composite,True,True,2202
rec_async_W,constant,constant,none,False,False,16
rec_async_W,constant,both,none,False,False,261072
rec_async_W,constant,winner_only,none,False,False,1008
rec_async_W,constant,g_only,none,False,False,48
rec_async_W,partial,constant,none,False,False,912
rec_async_W,partial,both,none,False,False,9417836
rec_async_W,partial,winner_only,none,False,False,42972
rec_async_W,partial,both,composite,True,True,5463268
rec_async_W,partial,winner_only,composite,True,True,14484
rec_async_W,partial,g_only,none,False,False,1792
rec_async_W,partial,g_only,composite,True,True,944
rec_async_W,injective,constant,none,False,False,96
rec_async_W,injective,both,none,False,False,772982
rec_async_W,injective,winner_only,none,False,False,3846
rec_async_W,injective,both,composite,True,True,793450
rec_async_W,injective,g_only,none,False,False,156
rec_async_W,injective,g_only,composite,True,True,132
rec_async_W,injective,winner_only,composite,True,True,2202
